"name","bibref"
"Carolyn E Cutrona","cutrona1986objective"
"Clifford L Broman","broman1988household"
"Mary Clare Lennon","lennon1994relative"
"Sarah Rosenfield","lennon1994relative"
"Theodore N Greenstein","greenstein2000economic"
"Marieke Van Willigen","van2001benefits"
"Patricia Drentea","van2001benefits"
"Jeanne A Batalova","batalova2002premarital"
"Philip N Cohen","batalova2002premarital"
"Makiko Fuwa","fuwa2004macro"
"Michael Braun","braun2008perceived"
"Noah Lewin-Epstein","braun2008perceived"
"Haya Stier","braun2008perceived"
"Miriam K Baumgärtner","braun2008perceived"
"Gary Charness","charness2008s"
"Uri Gneezy","charness2008s"
"Knud Knudsen","knudsen2008national"
"Kari Wærness","knudsen2008national"
"Leah Ruppanner","ruppanner2008fairness"
"Theodore N Greenstein","greenstein2009national"
"Alfred DeMaris","demaris201020"
"Steffen Andersen","andersen2011stakes"
"Seda Ertaç","andersen2011stakes"
"Uri Gneezy","andersen2011stakes"
"Moshe Hoffman","andersen2011stakes"
"John A List","andersen2011stakes"
"Jean-Baptiste André","andre2011evolution"
"Nicolas Baumard","andre2011evolution"
"Christoph Engel","engel2011dictator"
"Judith Treas","treas2011happy"
"Tanja van der Lippe","treas2011happy"
"Tsui-o Chloe Tai","treas2011happy"
"Nicolas Baumard","baumard2013mutualistic"
"Jean-Baptiste André","baumard2013mutualistic"
"Dan Sperber","baumard2013mutualistic"
"Nikhil Chaudhary","chaudhary2015polygyny"
"Gul Deniz Salali","chaudhary2015polygyny"
"James Thompson","chaudhary2015polygyny"
"Mark Dyble","chaudhary2015polygyny"
"Abigail Page","chaudhary2015polygyny"
"Daniel Smith","chaudhary2015polygyny"
"Ruth Mace","chaudhary2015polygyny"
"Andrea Bamberg Migliano","chaudhary2015polygyny"
"Renzo Carriero","carriero2016housework"
"Lorenzo Todesco","carriero2016housework"
"Nikhil Chaudhary","chaudhary2016competition"
"Gul Deniz Salali","chaudhary2016competition"
"James Thompson","chaudhary2016competition"
"Aude Rey","chaudhary2016competition"
"Pascale Gerbault","chaudhary2016competition"
"Edward Geoffrey Jedediah Stevenson","chaudhary2016competition"
"Mark Dyble","chaudhary2016competition"
"Abigail E Page","chaudhary2016competition"
"Daniel Smith","chaudhary2016competition"
"Ruth Mace","chaudhary2016competition"
"Mark Dyble","dyble2016networks"
"James Thompson","dyble2016networks"
"Daniel Smith","dyble2016networks"
"Gul Deniz Salali","dyble2016networks"
"Nikhil Chaudhary","dyble2016networks"
"Abigail E Page","dyble2016networks"
"Lucio Vinicuis","dyble2016networks"
"Ruth Mace","dyble2016networks"
"Andrea Bamberg Migliano","dyble2016networks"
"Lisanne Jansen","jansen2016perceived"
"Tijmen Weber","jansen2016perceived"
"Gerbert Kraaykamp","jansen2016perceived"
"Ellen Verbakel","jansen2016perceived"
"Daniel Smith","smith2016camp"
"Mark Dyble","smith2016camp"
"James Thompson","smith2016camp"
"Katie Major","smith2016camp"
"Abigail E Page","smith2016camp"
"Nikhil Chaudhary","smith2016camp"
"Gul Deniz Salali","smith2016camp"
"Lucio Vinicius","smith2016camp"
"Andrea Bamberg Migliano","smith2016camp"
"Ruth Mace","smith2016camp"
"Yang Hu","hu2018fairness"
"Deniz Yucel","hu2018fairness"
"Mark Dyble","dyble2019engagement"
"Jack Thorley","dyble2019engagement"
"Abigail E Page","dyble2019engagement"
"Daniel Smith","dyble2019engagement"
"Andrea Bamberg Migliano","dyble2019engagement"
"Elizabeth Huppert","huppert2019development"
"Jason M Cowell","huppert2019development"
"Yawei Cheng","huppert2019development"
"Carlos Contreras-Ibáñez","huppert2019development"
"Natalia Gomez-Sicard","huppert2019development"
"Maria Luz Gonzalez-Gadea","huppert2019development"
"David Huepe","huppert2019development"
"Agustin Ibanez","huppert2019development"
"Kang Lee","huppert2019development"
"Randa Mahasneh","huppert2019development"
"Andrea Larney","larney2019stake"
"Amanda Rotella","larney2019stake"
"Pat Barclay","larney2019stake"
"Daniel Smith","smith2019friend"
"Mark Dyble","smith2019friend"
"Katie Major","smith2019friend"
"Abigail E Page","smith2019friend"
"Nikhil Chaudhary","smith2019friend"
"Gul Deniz Salali","smith2019friend"
"James Thompson","smith2019friend"
"Lucio Vinicius","smith2019friend"
"Andrea Bamberg Migliano","smith2019friend"
"Ruth Mace","smith2019friend"
"Chiara Aina","aina2020frustration"
"Pierpaolo Battigalli","aina2020frustration"
"Astrid Gamba","aina2020frustration"
"Renzo Carriero","carriero2020role"
"Woosang Hwang","hwang2020paid"
"Eunjoo Jung","hwang2020paid"
"Andrea V Shaw","hwang2020paid"
"Renee Mestad","hwang2020paid"
"Sandra D Lane","hwang2020paid"
