"name","bibref"
"Theodore N Greenstein","greenstein2009national"
"Lisanne Jansen","jansen2016perceived"
"Tijmen Weber","jansen2016perceived"
"Gerbert Kraaykamp","jansen2016perceived"
"Ellen Verbakel","jansen2016perceived"
"King King Li","li2017does"
"Efrén O Pérez","perez2017language"
"Margit Tavits","perez2017language"
"Alexandra Simonenko","simonenko2017taraldsen"
"Benoıt Crabbé","simonenko2017taraldsen"
"Sophie Prévost","simonenko2017taraldsen"
"Daniel Smith","smith2016camp"
"Mark Dyble","smith2016camp"
"James Thompson","smith2016camp"
"Katie Major","smith2016camp"
"Abigail E Page","smith2016camp"
"Nikhil Chaudhary","smith2016camp"
"Gul Deniz Salali","smith2016camp"
"Lucio Vinicius","smith2016camp"
"Andrea Bamberg Migliano","smith2016camp"
"Ruth Mace","smith2016camp"
"Rebecca M Horne","horne2018time"
"Matthew D Johnson","horne2018time"
"Nancy L Galambos","horne2018time"
"Harvey J Krahn","horne2018time"
"Astghik Mavisakalyan","mavisakalyan2018talking"
"Yashar Tarverdi","mavisakalyan2018talking"
"Clas Weber","mavisakalyan2018talking"
"Mark Dyble","dyble2019engagement"
"Jack Thorley","dyble2019engagement"
"Abigail E Page","dyble2019engagement"
"Daniel Smith","dyble2019engagement"
"Andrea Bamberg Migliano","dyble2019engagement"
"Elizabeth Huppert","huppert2019development"
"Jason M Cowell","huppert2019development"
"Yawei Cheng","huppert2019development"
"Carlos Contreras-Ibáñez","huppert2019development"
"Natalia Gomez-Sicard","huppert2019development"
"Maria Luz Gonzalez-Gadea","huppert2019development"
"David Huepe","huppert2019development"
"Agustin Ibanez","huppert2019development"
"Kang Lee","huppert2019development"
"Randa Mahasneh","huppert2019development"
"Andrea Larney","larney2019stake"
"Amanda Rotella","larney2019stake"
"Pat Barclay","larney2019stake"
"Daniel Smith","smith2019friend"
"Mark Dyble","smith2019friend"
"Katie Major","smith2019friend"
"Abigail E Page","smith2019friend"
"Nikhil Chaudhary","smith2019friend"
"Gul Deniz Salali","smith2019friend"
"James Thompson","smith2019friend"
"Lucio Vinicius","smith2019friend"
"Andrea Bamberg Migliano","smith2019friend"
"Ruth Mace","smith2019friend"
"Chiara Aina","aina2020frustration"
"Pierpaolo Battigalli","aina2020frustration"
"Astrid Gamba","aina2020frustration"
"Renzo Carriero","carriero2020role"
"Woosang Hwang","hwang2020paid"
"Eunjoo Jung","hwang2020paid"
"Andrea V Shaw","hwang2020paid"
"Renee Mestad","hwang2020paid"
"Sandra D Lane","hwang2020paid"
