"username","realname","date","bibref"
"angarikadeb","Angarika Deb","Thu Aug 20 2020 23:29:56 GMT+0530 (IST)","cutrona1986objective"
"angarikadeb","Angarika Deb","Thu Aug 20 2020 11:09:00 GMT+0530 (IST)","broman1988household"
"angarikadeb","Angarika Deb","Sat Aug 08 2020 19:47:26 GMT+0530 (IST)","lennon1994relative"
"angarikadeb","Angarika Deb","Fri Aug 21 2020 12:03:20 GMT+0530 (IST)","greenstein2000economic"
"angarikadeb","Angarika Deb","Thu Aug 20 2020 09:01:17 GMT+0530 (IST)","van2001benefits"
"angarikadeb","Angarika Deb","Tue Aug 11 2020 09:12:47 GMT+0530 (IST)","batalova2002premarital"
"angarikadeb","Angarika Deb","Sat Aug 08 2020 22:44:07 GMT+0530 (IST)","fuwa2004macro"
"angarikadeb","Angarika Deb","Mon Sep 07 2020 16:54:17 GMT+0530 (IST)","braun2008perceived"
"angarikadeb","Angarika Deb","Mon Aug 24 2020 19:09:28 GMT+0530 (IST)","charness2008s"
"angarikadeb","Angarika Deb","Sun Aug 09 2020 11:03:54 GMT+0530 (IST)","knudsen2008national"
"angarikadeb","Angarika Deb","Mon Aug 10 2020 11:19:22 GMT+0530 (IST)","ruppanner2008fairness"
"angarikadeb","Angarika Deb","Mon Sep 07 2020 14:05:23 GMT+0530 (IST)","greenstein2009national"
"angarikadeb","Angarika Deb","Mon Aug 17 2020 18:26:31 GMT+0530 (IST)","demaris201020"
"angarikadeb","Angarika Deb","Mon Aug 24 2020 22:11:06 GMT+0530 (IST)","andersen2011stakes"
"angarikadeb","Angarika Deb","Wed Aug 19 2020 11:27:28 GMT+0530 (IST)","andre2011evolution"
"angarikadeb","Angarika Deb","Tue Aug 25 2020 21:12:33 GMT+0530 (IST)","engel2011dictator"
"angarikadeb","Angarika Deb","Mon Aug 10 2020 13:49:46 GMT+0530 (IST)","treas2011happy"
"angarikadeb","Angarika Deb","Thu Aug 20 2020 08:19:58 GMT+0530 (IST)","baumard2013mutualistic"
"angarikadeb","Angarika Deb","Wed Aug 12 2020 11:49:40 GMT+0530 (IST)","chaudhary2015polygyny"
"angarikadeb","Angarika Deb","Sun Aug 09 2020 18:33:37 GMT+0530 (IST)","carriero2016housework"
"angarikadeb","Angarika Deb","Thu Aug 13 2020 17:10:01 GMT+0530 (IST)","chaudhary2016competition"
"angarikadeb","Angarika Deb","Thu Aug 13 2020 12:11:03 GMT+0530 (IST)","dyble2016networks"
"angarikadeb","Angarika Deb","Sun Aug 09 2020 16:20:10 GMT+0530 (IST)","jansen2016perceived"
"angarikadeb","Angarika Deb","Wed Aug 12 2020 13:12:30 GMT+0530 (IST)","smith2016camp"
"angarikadeb","Angarika Deb","Mon Sep 07 2020 21:48:26 GMT+0530 (IST)","hu2018fairness"
"angarikadeb","Angarika Deb","Wed Aug 12 2020 11:23:44 GMT+0530 (IST)","dyble2019engagement"
"angarikadeb","Angarika Deb","Tue Aug 18 2020 13:11:30 GMT+0530 (IST)","huppert2019development"
"angarikadeb","Angarika Deb","Tue Aug 25 2020 19:52:08 GMT+0530 (IST)","larney2019stake"
"angarikadeb","Angarika Deb","Thu Aug 13 2020 18:49:23 GMT+0530 (IST)","smith2019friend"
"angarikadeb","Angarika Deb","Tue Aug 25 2020 09:03:14 GMT+0530 (IST)","aina2020frustration"
"angarikadeb","Angarika Deb","Mon Aug 17 2020 11:21:48 GMT+0530 (IST)","carriero2020role"
"angarikadeb","Angarika Deb","Sun Aug 09 2020 12:25:40 GMT+0530 (IST)","hwang2020paid"
