"pk","author","year","title","record","citation"
"cutrona1986objective","Carolyn E Cutrona","1986","Objective determinants of perceived social support.","@Article{cutrona1986objective,
  title = {Objective determinants of perceived social support.},
  author = {Carolyn E Cutrona},
  journal = {Journal of personality and social psychology},
  volume = {50},
  number = {2},
  pages = {349},
  year = {1986},
  publisher = {American Psychological Association},
}","Cutrona (1986)"
"broman1988household","Clifford L Broman","1988","Household work and family life satisfaction of blacks","@Article{broman1988household,
  title = {Household work and family life satisfaction of blacks},
  author = {Clifford L Broman},
  journal = {Journal of Marriage and the Family},
  pages = {743--748},
  year = {1988},
  publisher = {JSTOR},
}","Broman (1988)"
"lennon1994relative","Mary Clare Lennon; Sarah Rosenfield","1994","Relative fairness and the division of housework: The importance of options","@Article{lennon1994relative,
  title = {Relative fairness and the division of housework: The importance of options},
  author = {Mary Clare Lennon and Sarah Rosenfield},
  journal = {American journal of Sociology},
  volume = {100},
  number = {2},
  pages = {506--531},
  year = {1994},
  publisher = {University of Chicago Press},
}","Lennon & Rosenfield (1994)"
"knez1995outside","Marc J Knez; Colin F Camerer","1995","Outside Options and Social Comparison in Three-Player Ultimatum Game Experiments","@Article{knez1995outside,
  title = {Outside Options and Social Comparison in Three-Player Ultimatum Game Experiments},
  author = {Marc J Knez and Colin F Camerer},
  journal = {Games and Economic Behavior},
  volume = {10},
  number = {1},
  pages = {65--94},
  year = {1995},
  publisher = {Elsevier},
}","Knez & Camerer (1995)"
"greenstein2000economic","Theodore N Greenstein","2000","Economic dependence, gender, and the division of labor in the home: A replication and extension","@Article{greenstein2000economic,
  title = {Economic dependence, gender, and the division of labor in the home: A replication and extension},
  author = {Theodore N Greenstein},
  journal = {Journal of Marriage and Family},
  volume = {62},
  number = {2},
  pages = {322--335},
  year = {2000},
  publisher = {Wiley Online Library},
}","Greenstein (2000)"
"van2001benefits","Marieke Van Willigen; Patricia Drentea","2001","Benefits of equitable relationships: The impact of sense of fairness, household division of labor, and decision making power on perceived social support","@Article{van2001benefits,
  title = {Benefits of equitable relationships: The impact of sense of fairness, household division of labor, and decision making power on perceived social support},
  author = {Marieke {Van Willigen} and Patricia Drentea},
  journal = {Sex Roles},
  volume = {44},
  number = {9-10},
  pages = {571--597},
  year = {2001},
  publisher = {Springer},
}","Van Willigen & Drentea (2001)"
"batalova2002premarital","Jeanne A Batalova; Philip N Cohen","2002","Premarital cohabitation and housework: Couples in cross-national perspective","@Article{batalova2002premarital,
  title = {Premarital cohabitation and housework: Couples in cross-national perspective},
  author = {Jeanne A Batalova and Philip N Cohen},
  journal = {Journal of Marriage and Family},
  volume = {64},
  number = {3},
  pages = {743--755},
  year = {2002},
  publisher = {Wiley Online Library},
}","Batalova & Cohen (2002)"
"fuwa2004macro","Makiko Fuwa","2004","Macro-level gender inequality and the division of household labor in 22 countries","@Article{fuwa2004macro,
  title = {Macro-level gender inequality and the division of household labor in 22 countries},
  author = {Makiko Fuwa},
  journal = {American sociological review},
  volume = {69},
  number = {6},
  pages = {751--767},
  year = {2004},
  publisher = {Sage Publications Sage CA: Los Angeles, CA},
}","Fuwa (2004)"
"braun2008perceived","Michael Braun; Noah Lewin-Epstein; Haya Stier; Miriam K Baumgärtner","2008","Perceived equity in the gendered division of household labor","@Article{braun2008perceived,
  title = {Perceived equity in the gendered division of household labor},
  author = {Michael Braun and Noah Lewin-Epstein and Haya Stier and Miriam K Baumgärtner},
  journal = {Journal of Marriage and Family},
  volume = {70},
  number = {5},
  pages = {1145--1156},
  year = {2008},
  publisher = {Wiley Online Library},
}","Braun, Lewin-Epstein, Stier & Baumgärtner (2008)"
"charness2008s","Gary Charness; Uri Gneezy","2008","What's in a name? Anonymity and social distance in dictator and ultimatum games","@Article{charness2008s,
  title = {What's in a name? Anonymity and social distance in dictator and ultimatum games},
  author = {Gary Charness and Uri Gneezy},
  journal = {Journal of Economic Behavior \& Organization},
  volume = {68},
  number = {1},
  pages = {29--35},
  year = {2008},
  publisher = {Elsevier},
}","Charness & Gneezy (2008)"
"knudsen2008national","Knud Knudsen; Kari Wærness","2008","National context and spousesâ€™ housework in 34 countries","@Article{knudsen2008national,
  title = {National context and spousesâ€™ housework in 34 countries},
  author = {Knud Knudsen and Kari Wærness},
  journal = {European Sociological Review},
  volume = {24},
  number = {1},
  pages = {97--113},
  year = {2008},
  publisher = {Oxford University Press},
}","Knudsen & Wærness (2008)"
"ruppanner2008fairness","Leah Ruppanner","2008","Fairness and housework: A cross-national comparison","@Article{ruppanner2008fairness,
  title = {Fairness and housework: A cross-national comparison},
  author = {Leah Ruppanner},
  journal = {Journal of Comparative Family Studies},
  volume = {39},
  number = {4},
  pages = {509--526},
  year = {2008},
  publisher = {University of Toronto Press},
}","Ruppanner (2008)"
"greenstein2009national","Theodore N Greenstein","2009","National context, family satisfaction, and fairness in the division of household labor","@Article{greenstein2009national,
  title = {National context, family satisfaction, and fairness in the division of household labor},
  author = {Theodore N Greenstein},
  journal = {Journal of Marriage and Family},
  volume = {71},
  number = {4},
  pages = {1039--1051},
  year = {2009},
  publisher = {Wiley Online Library},
}","Greenstein (2009)"
"demaris201020","Alfred DeMaris","2010","The 20-year trajectory of marital quality in enduring marriages: Does equity matter?","@Article{demaris201020,
  title = {The 20-year trajectory of marital quality in enduring marriages: Does equity matter?},
  author = {Alfred DeMaris},
  journal = {Journal of Social and Personal Relationships},
  volume = {27},
  number = {4},
  pages = {449--471},
  year = {2010},
  publisher = {Sage Publications Sage UK: London, England},
}","DeMaris (2010)"
"andersen2011stakes","Steffen Andersen; Seda Ertaç; Uri Gneezy; Moshe Hoffman; John A List","2011","Stakes matter in ultimatum games","@Article{andersen2011stakes,
  title = {Stakes matter in ultimatum games},
  author = {Steffen Andersen and Seda Ertaç and Uri Gneezy and Moshe Hoffman and John A List},
  journal = {American Economic Review},
  volume = {101},
  number = {7},
  pages = {3427--39},
  year = {2011},
}","Andersen, Ertaç, Gneezy, Hoffman et al. (2011)"
